Draw Date,Num1,Num2,Num3,Num4,Num5,Extra_Ball,Game,Num6,Num7,Num8,Num9,Num10,Num11,Num12,Num13,Num14,Num15,Num16,Num17,Num18,Num19,Num20
2024-04-16,21,26,36,44,59,,Mega Millions,,,,,,,,,,,,,,,
2024-04-12,01,12,14,18,66,,Mega Millions,,,,,,,,,,,,,,,
2024-04-09,34,43,51,52,69,,Mega Millions,,,,,,,,,,,,,,,
2024-04-05,20,30,54,63,65,,Mega Millions,,,,,,,,,,,,,,,
2024-04-02,10,50,56,60,66,,Mega Millions,,,,,,,,,,,,,,,
2024-03-29,11,30,33,38,60,,Mega Millions,,,,,,,,,,,,,,,
2024-03-26,07,11,22,29,38,,Mega Millions,,,,,,,,,,,,,,,
2024-03-22,03,08,31,35,44,,Mega Millions,,,,,,,,,,,,,,,
2024-03-19,24,46,49,62,66,,Mega Millions,,,,,,,,,,,,,,,
2024-03-15,13,25,50,51,66,,Mega Millions,,,,,,,,,,,,,,,
2024-03-12,02,16,31,57,64,,Mega Millions,,,,,,,,,,,,,,,
2024-03-08,19,20,22,47,58,,Mega Millions,,,,,,,,,,,,,,,
2024-03-05,02,49,50,61,70,,Mega Millions,,,,,,,,,,,,,,,
2024-03-01,15,33,37,55,61,,Mega Millions,,,,,,,,,,,,,,,
2024-02-27,06,18,26,27,49,,Mega Millions,,,,,,,,,,,,,,,
2024-02-23,04,06,40,41,60,,Mega Millions,,,,,,,,,,,,,,,
2024-02-20,05,45,55,58,68,,Mega Millions,,,,,,,,,,,,,,,
2024-02-16,19,23,39,42,67,,Mega Millions,,,,,,,,,,,,,,,
2024-02-13,01,03,19,25,58,,Mega Millions,,,,,,,,,,,,,,,
2024-02-09,17,22,29,46,69,,Mega Millions,,,,,,,,,,,,,,,
2024-02-06,02,10,31,44,57,,Mega Millions,,,,,,,,,,,,,,,
2024-02-02,11,22,42,64,69,,Mega Millions,,,,,,,,,,,,,,,
2024-01-30,03,05,16,58,59,,Mega Millions,,,,,,,,,,,,,,,
2024-01-26,14,31,34,50,61,,Mega Millions,,,,,,,,,,,,,,,
2024-01-23,21,28,58,69,70,,Mega Millions,,,,,,,,,,,,,,,
2024-01-19,01,09,16,17,30,,Mega Millions,,,,,,,,,,,,,,,
2024-01-16,02,10,42,49,54,,Mega Millions,,,,,,,,,,,,,,,
2024-01-12,19,34,35,45,67,,Mega Millions,,,,,,,,,,,,,,,
2024-01-09,12,15,32,33,53,,Mega Millions,,,,,,,,,,,,,,,
2024-01-05,05,23,26,38,44,,Mega Millions,,,,,,,,,,,,,,,
2024-01-02,03,18,27,29,64,,Mega Millions,,,,,,,,,,,,,,,
2023-12-29,11,27,30,62,70,,Mega Millions,,,,,,,,,,,,,,,
2023-12-26,08,10,22,58,64,,Mega Millions,,,,,,,,,,,,,,,
2023-12-22,10,26,36,54,69,,Mega Millions,,,,,,,,,,,,,,,
2023-12-19,17,26,50,58,61,,Mega Millions,,,,,,,,,,,,,,,
2023-12-15,10,20,28,40,54,,Mega Millions,,,,,,,,,,,,,,,
2023-12-12,08,23,44,45,53,,Mega Millions,,,,,,,,,,,,,,,
2023-12-08,21,26,53,66,70,,Mega Millions,,,,,,,,,,,,,,,
2023-12-05,18,35,40,64,67,,Mega Millions,,,,,,,,,,,,,,,
2023-12-01,12,47,49,52,65,,Mega Millions,,,,,,,,,,,,,,,
2023-11-28,27,37,42,59,61,,Mega Millions,,,,,,,,,,,,,,,
2023-11-24,06,15,45,59,68,,Mega Millions,,,,,,,,,,,,,,,
2023-11-21,17,22,25,30,38,,Mega Millions,,,,,,,,,,,,,,,
2023-11-17,06,12,31,33,69,,Mega Millions,,,,,,,,,,,,,,,
2023-11-14,29,35,59,61,69,,Mega Millions,,,,,,,,,,,,,,,
2023-11-10,13,33,59,68,70,,Mega Millions,,,,,,,,,,,,,,,
2023-11-07,03,11,33,42,52,,Mega Millions,,,,,,,,,,,,,,,
2023-11-03,15,32,38,47,65,,Mega Millions,,,,,,,,,,,,,,,
