STATE_NAME,STATE_ABBREVIATION,IncomeType,Burden
Alabama,AL,Median Household Income,11.44135439421946
Alaska,AK,Median Household Income,
Arizona,AZ,Median Household Income,17.538787703575213
Arkansas,AR,Median Household Income,
California,CA,Median Household Income,20.076239982672732
Colorado,CO,Median Household Income,16.92657860472513
Connecticut,CT,Median Household Income,13.795115998355199
Delaware,DE,Median Household Income,11.07367335216683
District of Columbia,DC,Median Household Income,20.447887379327973
Florida,FL,Median Household Income,
Georgia,GA,Median Household Income,13.8609249243032
Hawaii,HI,Median Household Income,10.385432680810357
Idaho,ID,Median Household Income,11.349478479798586
Illinois,IL,Median Household Income,
Indiana,IN,Median Household Income,
Iowa,IA,Median Household Income,8.954529069468045
Kansas,KS,Median Household Income,8.915838996340826
Kentucky,KY,Median Household Income,8.110508830215073
Louisiana,LA,Median Household Income,14.112358396054356
Maine,ME,Median Household Income,13.16768992248062
Maryland,MD,Median Household Income,10.8249245891164
Massachusetts,MA,Median Household Income,14.685283087072431
Michigan,MI,Median Household Income,13.33525428612592
Minnesota,MN,Median Household Income,14.13216026090749
Mississippi,MS,Median Household Income,
Missouri,MO,Median Household Income,
Montana,MT,Median Household Income,13.885635488792394
Nebraska,NE,Median Household Income,9.286639864438316
Nevada,NV,Median Household Income,7.731330235126306
New Hampshire,NH,Median Household Income,12.766956974194429
New Jersey,NJ,Median Household Income,9.87117229200947
New Mexico,NM,Median Household Income,
New York,NY,Median Household Income,12.73490179431501
North Carolina,NC,Median Household Income,10.85391225689733
North Dakota,ND,Median Household Income,10.941262095378997
Ohio,OH,Median Household Income,17.43305792274084
Oklahoma,OK,Median Household Income,13.465328599376855
Oregon,OR,Median Household Income,11.232648985959438
Pennsylvania,PA,Median Household Income,
Puerto Rico,PR,Median Household Income,
Rhode Island,RI,Median Household Income,13.565671791779721
South Carolina,SC,Median Household Income,15.027759789319173
South Dakota,SD,Median Household Income,7.769079065320026
Tennessee,TN,Median Household Income,8.304165128259227
Texas,TX,Median Household Income,6.83654924403542
Utah,UT,Median Household Income,16.984724034697166
Vermont,VT,Median Household Income,
Virginia,VA,Median Household Income,16.586442992294938
Washington,WA,Median Household Income,15.861962717608996
West Virginia,WV,Median Household Income,13.218018272748159
Wisconsin,WI,Median Household Income,14.068829040536778
Wyoming,WY,Median Household Income,
Alabama,AL,Median Family Income,9.026431353053276
Alaska,AK,Median Family Income,
